event_id,event_ts,region,asset_id,event_type,severity,duration_minutes,source_system,last_updated_ts
GE10001,2026-05-08 00:00:00,CENTRAL,ASSET_034,MAINTENANCE,CRITICAL,55,GRID_FEED_2,2026-05-08 00:00:00
GE10002,2026-05-08 00:07:00,CENTRAL,ASSET_023,OUTAGE,HIGH,131,GRID_FEED_2,2026-05-08 00:07:00
GE10003,2026-05-08 00:14:00,CENTRAL,ASSET_020,MAINTENANCE,HIGH,53,GRID_FEED_2,2026-05-08 00:14:00
GE10004,2026-05-08 00:21:00,CENTRAL,ASSET_027,MAINTENANCE,HIGH,161,GRID_FEED_2,2026-05-08 00:21:00
GE10005,2026-05-08 00:28:00,CENTRAL,ASSET_033,MAINTENANCE,MEDIUM,6,GRID_FEED_2,2026-05-08 00:28:00
GE10006,2026-05-08 00:35:00,CENTRAL,ASSET_034,FLUCTUATION,CRITICAL,56,GRID_FEED_2,2026-05-08 00:35:00
GE10007,2026-05-08 00:42:00,CENTRAL,ASSET_030,ALARM,CRITICAL,146,GRID_FEED_2,2026-05-08 00:42:00
GE10008,2026-05-08 00:49:00,CENTRAL,ASSET_004,FLUCTUATION,HIGH,120,GRID_FEED_2,2026-05-08 00:49:00
GE10009,2026-05-08 00:56:00,CENTRAL,ASSET_010,FLUCTUATION,MEDIUM,177,GRID_FEED_2,2026-05-08 00:56:00
GE10010,2026-05-08 01:03:00,CENTRAL,ASSET_020,MAINTENANCE,CRITICAL,83,GRID_FEED_2,2026-05-08 01:03:00
GE10011,2026-05-08 01:10:00,CENTRAL,ASSET_005,FLUCTUATION,CRITICAL,70,GRID_FEED_2,2026-05-08 01:10:00
GE10012,2026-05-08 01:17:00,CENTRAL,ASSET_019,FLUCTUATION,HIGH,177,GRID_FEED_2,2026-05-08 01:17:00
GE10013,2026-05-08 01:24:00,CENTRAL,ASSET_039,FLUCTUATION,CRITICAL,63,GRID_FEED_2,2026-05-08 01:24:00
GE10014,2026-05-08 01:31:00,CENTRAL,ASSET_008,FLUCTUATION,MEDIUM,9,GRID_FEED_2,2026-05-08 01:31:00
GE10015,2026-05-08 01:38:00,CENTRAL,ASSET_016,ALARM,CRITICAL,126,GRID_FEED_2,2026-05-08 01:38:00
GE10016,2026-05-08 01:45:00,CENTRAL,ASSET_036,MAINTENANCE,CRITICAL,167,GRID_FEED_2,2026-05-08 01:45:00
GE10017,2026-05-08 01:52:00,CENTRAL,ASSET_003,FLUCTUATION,MEDIUM,71,GRID_FEED_2,2026-05-08 01:52:00
GE10018,2026-05-08 01:59:00,CENTRAL,ASSET_009,OUTAGE,HIGH,73,GRID_FEED_2,2026-05-08 01:59:00
GE10019,2026-05-08 02:06:00,CENTRAL,ASSET_036,FLUCTUATION,LOW,126,GRID_FEED_2,2026-05-08 02:06:00
GE10020,2026-05-08 02:13:00,CENTRAL,ASSET_002,OUTAGE,LOW,82,GRID_FEED_2,2026-05-08 02:13:00
GE10021,2026-05-08 02:20:00,CENTRAL,ASSET_039,ALARM,LOW,106,GRID_FEED_2,2026-05-08 02:20:00
GE10022,2026-05-08 02:27:00,CENTRAL,ASSET_024,OUTAGE,CRITICAL,37,GRID_FEED_2,2026-05-08 02:27:00
GE10023,2026-05-08 02:34:00,CENTRAL,ASSET_016,OUTAGE,LOW,135,GRID_FEED_2,2026-05-08 02:34:00
GE10024,2026-05-08 02:41:00,CENTRAL,ASSET_038,ALARM,CRITICAL,25,GRID_FEED_2,2026-05-08 02:41:00
GE10025,2026-05-08 02:48:00,CENTRAL,ASSET_016,OUTAGE,HIGH,86,GRID_FEED_2,2026-05-08 02:48:00
GE10026,2026-05-08 02:55:00,CENTRAL,ASSET_038,MAINTENANCE,MEDIUM,110,GRID_FEED_2,2026-05-08 02:55:00
GE10027,2026-05-08 03:02:00,CENTRAL,ASSET_014,FLUCTUATION,LOW,46,GRID_FEED_2,2026-05-08 03:02:00
GE10028,2026-05-08 03:09:00,CENTRAL,ASSET_014,ALARM,CRITICAL,106,GRID_FEED_2,2026-05-08 03:09:00
GE10029,2026-05-08 03:16:00,CENTRAL,ASSET_017,OUTAGE,CRITICAL,138,GRID_FEED_2,2026-05-08 03:16:00
GE10030,2026-05-08 03:23:00,CENTRAL,ASSET_024,OUTAGE,HIGH,141,GRID_FEED_2,2026-05-08 03:23:00
GE10031,2026-05-08 03:30:00,CENTRAL,ASSET_028,MAINTENANCE,MEDIUM,73,GRID_FEED_2,2026-05-08 03:30:00
GE10032,2026-05-08 03:37:00,CENTRAL,ASSET_010,ALARM,CRITICAL,96,GRID_FEED_2,2026-05-08 03:37:00
GE10033,2026-05-08 03:44:00,CENTRAL,ASSET_020,OUTAGE,LOW,171,GRID_FEED_2,2026-05-08 03:44:00
GE10034,2026-05-08 03:51:00,CENTRAL,ASSET_004,FLUCTUATION,HIGH,143,GRID_FEED_2,2026-05-08 03:51:00
GE10035,2026-05-08 03:58:00,CENTRAL,ASSET_025,ALARM,HIGH,177,GRID_FEED_2,2026-05-08 03:58:00
GE10036,2026-05-08 04:05:00,CENTRAL,ASSET_008,FLUCTUATION,CRITICAL,101,GRID_FEED_2,2026-05-08 04:05:00
GE10037,2026-05-08 04:12:00,CENTRAL,ASSET_001,MAINTENANCE,HIGH,79,GRID_FEED_2,2026-05-08 04:12:00
GE10038,2026-05-08 04:19:00,CENTRAL,ASSET_006,FLUCTUATION,HIGH,55,GRID_FEED_2,2026-05-08 04:19:00
GE10039,2026-05-08 04:26:00,CENTRAL,ASSET_011,MAINTENANCE,HIGH,166,GRID_FEED_2,2026-05-08 04:26:00
GE10040,2026-05-08 04:33:00,CENTRAL,ASSET_027,OUTAGE,HIGH,22,GRID_FEED_2,2026-05-08 04:33:00
GE10041,2026-05-08 04:40:00,CENTRAL,ASSET_032,MAINTENANCE,CRITICAL,87,GRID_FEED_2,2026-05-08 04:40:00
GE10042,2026-05-08 04:47:00,CENTRAL,ASSET_028,OUTAGE,MEDIUM,180,GRID_FEED_2,2026-05-08 04:47:00
GE10043,2026-05-08 04:54:00,CENTRAL,ASSET_017,OUTAGE,HIGH,109,GRID_FEED_2,2026-05-08 04:54:00
GE10044,2026-05-08 05:01:00,CENTRAL,ASSET_039,ALARM,CRITICAL,179,GRID_FEED_2,2026-05-08 05:01:00
GE10045,2026-05-08 05:08:00,CENTRAL,ASSET_002,OUTAGE,MEDIUM,163,GRID_FEED_2,2026-05-08 05:08:00
GE10046,2026-05-08 05:15:00,CENTRAL,ASSET_029,FLUCTUATION,LOW,104,GRID_FEED_2,2026-05-08 05:15:00
GE10047,2026-05-08 05:22:00,CENTRAL,ASSET_013,ALARM,HIGH,149,GRID_FEED_2,2026-05-08 05:22:00
GE10048,2026-05-08 05:29:00,CENTRAL,ASSET_006,OUTAGE,MEDIUM,65,GRID_FEED_2,2026-05-08 05:29:00
GE10049,2026-05-08 05:36:00,CENTRAL,ASSET_034,FLUCTUATION,CRITICAL,83,GRID_FEED_2,2026-05-08 05:36:00
GE10050,2026-05-08 05:43:00,CENTRAL,ASSET_029,MAINTENANCE,MEDIUM,68,GRID_FEED_2,2026-05-08 05:43:00
