event_id,event_ts,region,asset_id,event_type,severity,duration_minutes,source_system,last_updated_ts
GE13001,2026-05-09 00:00:00,EAST,ASSET_015,FLUCTUATION,HIGH,156,GRID_FEED_1,2026-05-09 00:00:00
GE13002,2026-05-09 00:07:00,EAST,ASSET_030,FLUCTUATION,HIGH,101,GRID_FEED_1,2026-05-09 00:07:00
GE13003,2026-05-09 00:14:00,EAST,ASSET_027,ALARM,CRITICAL,43,GRID_FEED_1,2026-05-09 00:14:00
GE13004,2026-05-09 00:21:00,EAST,ASSET_040,FLUCTUATION,HIGH,178,GRID_FEED_1,2026-05-09 00:21:00
GE13005,2026-05-09 00:28:00,EAST,ASSET_006,MAINTENANCE,MEDIUM,46,GRID_FEED_1,2026-05-09 00:28:00
GE13006,2026-05-09 00:35:00,EAST,ASSET_013,FLUCTUATION,CRITICAL,27,GRID_FEED_1,2026-05-09 00:35:00
GE13007,2026-05-09 00:42:00,EAST,ASSET_027,MAINTENANCE,HIGH,62,GRID_FEED_1,2026-05-09 00:42:00
GE13008,2026-05-09 00:49:00,EAST,ASSET_014,OUTAGE,LOW,93,GRID_FEED_1,2026-05-09 00:49:00
GE13009,2026-05-09 00:56:00,EAST,ASSET_017,ALARM,MEDIUM,46,GRID_FEED_1,2026-05-09 00:56:00
GE13010,2026-05-09 01:03:00,EAST,ASSET_033,OUTAGE,LOW,88,GRID_FEED_1,2026-05-09 01:03:00
GE13011,2026-05-09 01:10:00,EAST,ASSET_028,OUTAGE,MEDIUM,32,GRID_FEED_1,2026-05-09 01:10:00
GE13012,2026-05-09 01:17:00,EAST,ASSET_036,FLUCTUATION,CRITICAL,68,GRID_FEED_1,2026-05-09 01:17:00
GE13013,2026-05-09 01:24:00,EAST,ASSET_022,ALARM,LOW,144,GRID_FEED_1,2026-05-09 01:24:00
GE13014,2026-05-09 01:31:00,EAST,ASSET_018,FLUCTUATION,LOW,14,GRID_FEED_1,2026-05-09 01:31:00
GE13015,2026-05-09 01:38:00,EAST,ASSET_029,MAINTENANCE,LOW,29,GRID_FEED_1,2026-05-09 01:38:00
GE13016,2026-05-09 01:45:00,EAST,ASSET_040,OUTAGE,LOW,131,GRID_FEED_1,2026-05-09 01:45:00
GE13017,2026-05-09 01:52:00,EAST,ASSET_007,FLUCTUATION,LOW,54,GRID_FEED_1,2026-05-09 01:52:00
GE13018,2026-05-09 01:59:00,EAST,ASSET_024,FLUCTUATION,HIGH,115,GRID_FEED_1,2026-05-09 01:59:00
GE13019,2026-05-09 02:06:00,EAST,ASSET_033,MAINTENANCE,LOW,41,GRID_FEED_1,2026-05-09 02:06:00
GE13020,2026-05-09 02:13:00,EAST,ASSET_024,ALARM,MEDIUM,33,GRID_FEED_1,2026-05-09 02:13:00
GE13021,2026-05-09 02:20:00,EAST,ASSET_013,MAINTENANCE,CRITICAL,3,GRID_FEED_1,2026-05-09 02:20:00
GE13022,2026-05-09 02:27:00,EAST,ASSET_016,MAINTENANCE,HIGH,75,GRID_FEED_1,2026-05-09 02:27:00
GE13023,2026-05-09 02:34:00,EAST,ASSET_033,FLUCTUATION,LOW,70,GRID_FEED_1,2026-05-09 02:34:00
GE13024,2026-05-09 02:41:00,EAST,ASSET_024,MAINTENANCE,HIGH,163,GRID_FEED_1,2026-05-09 02:41:00
GE13025,2026-05-09 02:48:00,EAST,ASSET_016,FLUCTUATION,CRITICAL,60,GRID_FEED_1,2026-05-09 02:48:00
GE13026,2026-05-09 02:55:00,EAST,ASSET_009,MAINTENANCE,CRITICAL,106,GRID_FEED_1,2026-05-09 02:55:00
GE13027,2026-05-09 03:02:00,EAST,ASSET_030,ALARM,LOW,115,GRID_FEED_1,2026-05-09 03:02:00
GE13028,2026-05-09 03:09:00,EAST,ASSET_010,OUTAGE,LOW,23,GRID_FEED_1,2026-05-09 03:09:00
GE13029,2026-05-09 03:16:00,EAST,ASSET_022,ALARM,CRITICAL,44,GRID_FEED_1,2026-05-09 03:16:00
GE13030,2026-05-09 03:23:00,EAST,ASSET_028,OUTAGE,CRITICAL,11,GRID_FEED_1,2026-05-09 03:23:00
GE13031,2026-05-09 03:30:00,EAST,ASSET_010,OUTAGE,HIGH,109,GRID_FEED_1,2026-05-09 03:30:00
GE13032,2026-05-09 03:37:00,EAST,ASSET_026,ALARM,HIGH,90,GRID_FEED_1,2026-05-09 03:37:00
GE13033,2026-05-09 03:44:00,EAST,ASSET_001,ALARM,MEDIUM,105,GRID_FEED_1,2026-05-09 03:44:00
GE13034,2026-05-09 03:51:00,EAST,ASSET_029,FLUCTUATION,CRITICAL,180,GRID_FEED_1,2026-05-09 03:51:00
GE13035,2026-05-09 03:58:00,EAST,ASSET_023,MAINTENANCE,MEDIUM,79,GRID_FEED_1,2026-05-09 03:58:00
GE13036,2026-05-09 04:05:00,EAST,ASSET_006,OUTAGE,HIGH,101,GRID_FEED_1,2026-05-09 04:05:00
GE13037,2026-05-09 04:12:00,EAST,ASSET_009,ALARM,MEDIUM,25,GRID_FEED_1,2026-05-09 04:12:00
GE13038,2026-05-09 04:19:00,EAST,ASSET_033,ALARM,HIGH,164,GRID_FEED_1,2026-05-09 04:19:00
GE13039,2026-05-09 04:26:00,EAST,ASSET_011,OUTAGE,LOW,140,GRID_FEED_1,2026-05-09 04:26:00
GE13040,2026-05-09 04:33:00,EAST,ASSET_038,ALARM,MEDIUM,79,GRID_FEED_1,2026-05-09 04:33:00
GE13041,2026-05-09 04:40:00,EAST,ASSET_028,OUTAGE,LOW,97,GRID_FEED_1,2026-05-09 04:40:00
GE13042,2026-05-09 04:47:00,EAST,ASSET_017,ALARM,LOW,14,GRID_FEED_1,2026-05-09 04:47:00
GE13043,2026-05-09 04:54:00,EAST,ASSET_008,MAINTENANCE,HIGH,148,GRID_FEED_1,2026-05-09 04:54:00
GE13044,2026-05-09 05:01:00,EAST,ASSET_001,MAINTENANCE,HIGH,62,GRID_FEED_1,2026-05-09 05:01:00
GE13045,2026-05-09 05:08:00,EAST,ASSET_038,FLUCTUATION,HIGH,78,GRID_FEED_1,2026-05-09 05:08:00
GE13046,2026-05-09 05:15:00,EAST,ASSET_019,FLUCTUATION,CRITICAL,135,GRID_FEED_1,2026-05-09 05:15:00
GE13047,2026-05-09 05:22:00,EAST,ASSET_016,OUTAGE,HIGH,134,GRID_FEED_1,2026-05-09 05:22:00
GE13048,2026-05-09 05:29:00,EAST,ASSET_038,FLUCTUATION,HIGH,118,GRID_FEED_1,2026-05-09 05:29:00
GE13049,2026-05-09 05:36:00,EAST,ASSET_007,FLUCTUATION,CRITICAL,107,GRID_FEED_1,2026-05-09 05:36:00
GE13050,2026-05-09 05:43:00,EAST,ASSET_006,OUTAGE,LOW,110,GRID_FEED_1,2026-05-09 05:43:00
