event_id,event_ts,region,asset_id,event_type,severity,duration_minutes,source_system,last_updated_ts
GE11001,2026-05-08 00:00:00,NORTH,ASSET_012,ALARM,HIGH,52,GRID_FEED_1,2026-05-08 00:00:00
GE11002,2026-05-08 00:07:00,NORTH,ASSET_006,MAINTENANCE,HIGH,48,GRID_FEED_1,2026-05-08 00:07:00
GE11003,2026-05-08 00:14:00,NORTH,ASSET_026,MAINTENANCE,MEDIUM,7,GRID_FEED_1,2026-05-08 00:14:00
GE11004,2026-05-08 00:21:00,NORTH,ASSET_002,FLUCTUATION,LOW,120,GRID_FEED_1,2026-05-08 00:21:00
GE11005,2026-05-08 00:28:00,NORTH,ASSET_013,ALARM,MEDIUM,14,GRID_FEED_1,2026-05-08 00:28:00
GE11006,2026-05-08 00:35:00,NORTH,ASSET_026,MAINTENANCE,HIGH,40,GRID_FEED_1,2026-05-08 00:35:00
GE11007,2026-05-08 00:42:00,NORTH,ASSET_006,ALARM,MEDIUM,147,GRID_FEED_1,2026-05-08 00:42:00
GE11008,2026-05-08 00:49:00,NORTH,ASSET_008,OUTAGE,CRITICAL,118,GRID_FEED_1,2026-05-08 00:49:00
GE11009,2026-05-08 00:56:00,NORTH,ASSET_032,OUTAGE,MEDIUM,54,GRID_FEED_1,2026-05-08 00:56:00
GE11010,2026-05-08 01:03:00,NORTH,ASSET_013,ALARM,HIGH,128,GRID_FEED_1,2026-05-08 01:03:00
GE11011,2026-05-08 01:10:00,NORTH,ASSET_025,FLUCTUATION,CRITICAL,54,GRID_FEED_1,2026-05-08 01:10:00
GE11012,2026-05-08 01:17:00,NORTH,ASSET_039,FLUCTUATION,HIGH,175,GRID_FEED_1,2026-05-08 01:17:00
GE11013,2026-05-08 01:24:00,NORTH,ASSET_013,MAINTENANCE,MEDIUM,106,GRID_FEED_1,2026-05-08 01:24:00
GE11014,2026-05-08 01:31:00,NORTH,ASSET_010,OUTAGE,HIGH,69,GRID_FEED_1,2026-05-08 01:31:00
GE11015,2026-05-08 01:38:00,NORTH,ASSET_016,MAINTENANCE,MEDIUM,96,GRID_FEED_1,2026-05-08 01:38:00
GE11016,2026-05-08 01:45:00,NORTH,ASSET_038,MAINTENANCE,LOW,4,GRID_FEED_1,2026-05-08 01:45:00
