event_id,event_ts,region,asset_id,event_type,severity,duration_minutes,source_system,last_updated_ts
GE12001,2026-05-08 00:00:00,SOUTH,ASSET_019,ALARM,LOW,20,GRID_FEED_2,2026-05-08 00:00:00
GE12002,2026-05-08 00:07:00,SOUTH,ASSET_036,MAINTENANCE,LOW,104,GRID_FEED_2,2026-05-08 00:07:00
GE12003,2026-05-08 00:14:00,SOUTH,ASSET_017,FLUCTUATION,MEDIUM,104,GRID_FEED_2,2026-05-08 00:14:00
GE12004,2026-05-08 00:21:00,SOUTH,ASSET_006,OUTAGE,MEDIUM,43,GRID_FEED_2,2026-05-08 00:21:00
GE12005,2026-05-08 00:28:00,SOUTH,ASSET_025,MAINTENANCE,HIGH,167,GRID_FEED_2,2026-05-08 00:28:00
GE12006,2026-05-08 00:35:00,SOUTH,ASSET_010,OUTAGE,HIGH,127,GRID_FEED_2,2026-05-08 00:35:00
GE12007,2026-05-08 00:42:00,SOUTH,ASSET_028,ALARM,MEDIUM,93,GRID_FEED_2,2026-05-08 00:42:00
GE12008,2026-05-08 00:49:00,SOUTH,ASSET_007,ALARM,MEDIUM,127,GRID_FEED_2,2026-05-08 00:49:00
GE12009,2026-05-08 00:56:00,SOUTH,ASSET_029,MAINTENANCE,CRITICAL,70,GRID_FEED_2,2026-05-08 00:56:00
GE12010,2026-05-08 01:03:00,SOUTH,ASSET_037,MAINTENANCE,LOW,110,GRID_FEED_2,2026-05-08 01:03:00
GE12011,2026-05-08 01:10:00,SOUTH,ASSET_024,FLUCTUATION,CRITICAL,163,GRID_FEED_2,2026-05-08 01:10:00
GE12012,2026-05-08 01:17:00,SOUTH,ASSET_028,OUTAGE,LOW,133,GRID_FEED_2,2026-05-08 01:17:00
GE12013,2026-05-08 01:24:00,SOUTH,ASSET_022,MAINTENANCE,MEDIUM,167,GRID_FEED_2,2026-05-08 01:24:00
GE12014,2026-05-08 01:31:00,SOUTH,ASSET_010,MAINTENANCE,LOW,76,GRID_FEED_2,2026-05-08 01:31:00
GE12015,2026-05-08 01:38:00,SOUTH,ASSET_030,MAINTENANCE,LOW,124,GRID_FEED_2,2026-05-08 01:38:00
GE12016,2026-05-08 01:45:00,SOUTH,ASSET_020,FLUCTUATION,MEDIUM,177,GRID_FEED_2,2026-05-08 01:45:00
GE12017,2026-05-08 01:52:00,SOUTH,ASSET_020,FLUCTUATION,CRITICAL,77,GRID_FEED_2,2026-05-08 01:52:00
