event_id,event_ts,region,asset_id,event_type,severity,duration_minutes,source_system,last_updated_ts
GE04001,2026-05-06 00:00:00,WEST,ASSET_004,ALARM,LOW,2,GRID_FEED_2,2026-05-06 00:00:00
GE04002,2026-05-06 00:07:00,WEST,ASSET_036,ALARM,LOW,74,GRID_FEED_2,2026-05-06 00:07:00
GE04003,2026-05-06 00:14:00,WEST,ASSET_002,FLUCTUATION,CRITICAL,153,GRID_FEED_2,2026-05-06 00:14:00
GE04004,2026-05-06 00:21:00,WEST,ASSET_026,ALARM,CRITICAL,105,GRID_FEED_2,2026-05-06 00:21:00
GE04005,2026-05-06 00:28:00,WEST,ASSET_025,MAINTENANCE,MEDIUM,171,GRID_FEED_2,2026-05-06 00:28:00
GE04006,2026-05-06 00:35:00,WEST,ASSET_012,MAINTENANCE,MEDIUM,50,GRID_FEED_2,2026-05-06 00:35:00
GE04007,2026-05-06 00:42:00,WEST,ASSET_036,MAINTENANCE,HIGH,108,GRID_FEED_2,2026-05-06 00:42:00
GE04008,2026-05-06 00:49:00,WEST,ASSET_010,ALARM,MEDIUM,36,GRID_FEED_2,2026-05-06 00:49:00
GE04009,2026-05-06 00:56:00,WEST,ASSET_001,OUTAGE,LOW,38,GRID_FEED_2,2026-05-06 00:56:00
GE04010,2026-05-06 01:03:00,WEST,ASSET_032,MAINTENANCE,MEDIUM,23,GRID_FEED_2,2026-05-06 01:03:00
GE04011,2026-05-06 01:10:00,WEST,ASSET_009,MAINTENANCE,CRITICAL,180,GRID_FEED_2,2026-05-06 01:10:00
GE04012,2026-05-06 01:17:00,WEST,ASSET_039,MAINTENANCE,MEDIUM,118,GRID_FEED_2,2026-05-06 01:17:00
GE04013,2026-05-06 01:24:00,WEST,ASSET_033,MAINTENANCE,CRITICAL,100,GRID_FEED_2,2026-05-06 01:24:00
GE04014,2026-05-06 01:31:00,WEST,ASSET_023,FLUCTUATION,MEDIUM,110,GRID_FEED_2,2026-05-06 01:31:00
GE04015,2026-05-06 01:38:00,WEST,ASSET_039,OUTAGE,CRITICAL,62,GRID_FEED_2,2026-05-06 01:38:00
GE04016,2026-05-06 01:45:00,WEST,ASSET_033,ALARM,CRITICAL,141,GRID_FEED_2,2026-05-06 01:45:00
GE04017,2026-05-06 01:52:00,WEST,ASSET_037,ALARM,LOW,11,GRID_FEED_2,2026-05-06 01:52:00
GE04018,2026-05-06 01:59:00,WEST,ASSET_037,MAINTENANCE,HIGH,30,GRID_FEED_2,2026-05-06 01:59:00
GE04019,2026-05-06 02:06:00,WEST,ASSET_038,MAINTENANCE,LOW,38,GRID_FEED_2,2026-05-06 02:06:00
GE04020,2026-05-06 02:13:00,WEST,ASSET_034,ALARM,CRITICAL,134,GRID_FEED_2,2026-05-06 02:13:00
GE04021,2026-05-06 02:20:00,WEST,ASSET_006,OUTAGE,MEDIUM,122,GRID_FEED_2,2026-05-06 02:20:00
