event_date,region,market_type,price_eur_mwh,volume_mwh,source_system,last_updated_ts
2026-05-09,CENTRAL,DAY_AHEAD,35.85,1373.1,MARKET_FEED_3,2026-05-09 00:00:00
2026-05-09,CENTRAL,INTRADAY,69.07,2087.4,MARKET_FEED_3,2026-05-09 00:05:00
2026-05-09,CENTRAL,DAY_AHEAD,71.66,1885.8,MARKET_FEED_3,2026-05-09 00:10:00
2026-05-09,CENTRAL,INTRADAY,84.62,1676.0,MARKET_FEED_3,2026-05-09 00:15:00
2026-05-09,CENTRAL,DAY_AHEAD,59.05,962.2,MARKET_FEED_3,2026-05-09 00:20:00
2026-05-09,CENTRAL,DAY_AHEAD,63.65,2390.9,MARKET_FEED_3,2026-05-09 00:25:00
2026-05-09,CENTRAL,DAY_AHEAD,50.65,1200.4,MARKET_FEED_3,2026-05-09 00:30:00
2026-05-09,CENTRAL,INTRADAY,92.24,1313.3,MARKET_FEED_3,2026-05-09 00:35:00
2026-05-09,CENTRAL,BALANCING,69.37,1244.6,MARKET_FEED_3,2026-05-09 00:40:00
2026-05-09,CENTRAL,INTRADAY,76.57,905.6,MARKET_FEED_3,2026-05-09 00:45:00
2026-05-09,CENTRAL,DAY_AHEAD,62.92,1071.5,MARKET_FEED_3,2026-05-09 00:50:00
2026-05-09,CENTRAL,BALANCING,65.15,2321.7,MARKET_FEED_3,2026-05-09 00:55:00
2026-05-09,CENTRAL,BALANCING,81.19,1973.5,MARKET_FEED_3,2026-05-09 01:00:00
2026-05-09,CENTRAL,BALANCING,89.97,1301.6,MARKET_FEED_3,2026-05-09 01:05:00
2026-05-09,CENTRAL,BALANCING,48.25,2427.5,MARKET_FEED_3,2026-05-09 01:10:00
2026-05-09,CENTRAL,INTRADAY,44.19,2071.1,MARKET_FEED_3,2026-05-09 01:15:00
2026-05-09,CENTRAL,BALANCING,57.42,1993.3,MARKET_FEED_3,2026-05-09 01:20:00
2026-05-09,CENTRAL,INTRADAY,80.44,2163.4,MARKET_FEED_3,2026-05-09 01:25:00
2026-05-09,CENTRAL,DAY_AHEAD,80.71,1956.6,MARKET_FEED_3,2026-05-09 01:30:00
2026-05-09,CENTRAL,BALANCING,87.39,939.2,MARKET_FEED_3,2026-05-09 01:35:00
2026-05-09,CENTRAL,INTRADAY,66.69,1415.0,MARKET_FEED_3,2026-05-09 01:40:00
2026-05-09,CENTRAL,BALANCING,41.73,2208.9,MARKET_FEED_3,2026-05-09 01:45:00
2026-05-09,CENTRAL,BALANCING,47.13,1712.3,MARKET_FEED_3,2026-05-09 01:50:00
2026-05-09,CENTRAL,DAY_AHEAD,54.69,1684.6,MARKET_FEED_3,2026-05-09 01:55:00
2026-05-09,CENTRAL,DAY_AHEAD,75.82,2018.8,MARKET_FEED_3,2026-05-09 02:00:00
2026-05-09,CENTRAL,INTRADAY,40.46,1667.6,MARKET_FEED_3,2026-05-09 02:05:00
2026-05-09,CENTRAL,DAY_AHEAD,62.21,1672.5,MARKET_FEED_3,2026-05-09 02:10:00
2026-05-09,CENTRAL,INTRADAY,68.83,1750.0,MARKET_FEED_3,2026-05-09 02:15:00
2026-05-09,CENTRAL,BALANCING,83.41,2029.6,MARKET_FEED_3,2026-05-09 02:20:00
2026-05-09,CENTRAL,INTRADAY,50.27,805.1,MARKET_FEED_3,2026-05-09 02:25:00
2026-05-09,CENTRAL,DAY_AHEAD,69.7,877.0,MARKET_FEED_3,2026-05-09 02:30:00
2026-05-09,CENTRAL,INTRADAY,77.02,1720.0,MARKET_FEED_3,2026-05-09 02:35:00
2026-05-09,CENTRAL,DAY_AHEAD,91.07,917.3,MARKET_FEED_3,2026-05-09 02:40:00
2026-05-09,CENTRAL,INTRADAY,36.9,1495.1,MARKET_FEED_3,2026-05-09 02:45:00
2026-05-09,CENTRAL,DAY_AHEAD,80.95,2463.2,MARKET_FEED_3,2026-05-09 02:50:00
2026-05-09,CENTRAL,BALANCING,92.83,1436.6,MARKET_FEED_3,2026-05-09 02:55:00
2026-05-09,CENTRAL,INTRADAY,61.91,2359.1,MARKET_FEED_3,2026-05-09 03:00:00
2026-05-09,CENTRAL,INTRADAY,57.54,1960.6,MARKET_FEED_3,2026-05-09 03:05:00
2026-05-09,CENTRAL,BALANCING,87.47,1026.1,MARKET_FEED_3,2026-05-09 03:10:00
2026-05-09,CENTRAL,INTRADAY,42.12,2487.8,MARKET_FEED_3,2026-05-09 03:15:00
2026-05-09,CENTRAL,INTRADAY,66.73,2037.4,MARKET_FEED_3,2026-05-09 03:20:00
2026-05-09,CENTRAL,DAY_AHEAD,85.09,2085.5,MARKET_FEED_3,2026-05-09 03:25:00
2026-05-09,CENTRAL,INTRADAY,62.78,2022.5,MARKET_FEED_3,2026-05-09 03:30:00
2026-05-09,CENTRAL,INTRADAY,66.92,2199.7,MARKET_FEED_3,2026-05-09 03:35:00
2026-05-09,CENTRAL,DAY_AHEAD,62.64,1063.7,MARKET_FEED_3,2026-05-09 03:40:00
2026-05-09,CENTRAL,DAY_AHEAD,91.24,2032.5,MARKET_FEED_3,2026-05-09 03:45:00
2026-05-09,CENTRAL,DAY_AHEAD,36.93,1922.3,MARKET_FEED_3,2026-05-09 03:50:00
2026-05-09,CENTRAL,BALANCING,80.96,2302.4,MARKET_FEED_3,2026-05-09 03:55:00
2026-05-09,CENTRAL,DAY_AHEAD,49.44,914.4,MARKET_FEED_3,2026-05-09 04:00:00
2026-05-09,CENTRAL,BALANCING,37.01,1816.2,MARKET_FEED_3,2026-05-09 04:05:00
