event_date,region,market_type,price_eur_mwh,volume_mwh,source_system,last_updated_ts
2026-05-07,EAST,INTRADAY,78.94,953.2,MARKET_FEED_2,2026-05-07 00:00:00
2026-05-07,EAST,INTRADAY,54.6,1506.4,MARKET_FEED_2,2026-05-07 00:05:00
2026-05-07,EAST,DAY_AHEAD,42.93,1717.0,MARKET_FEED_2,2026-05-07 00:10:00
2026-05-07,EAST,INTRADAY,66.85,2352.9,MARKET_FEED_2,2026-05-07 00:15:00
2026-05-07,EAST,DAY_AHEAD,50.42,2202.0,MARKET_FEED_2,2026-05-07 00:20:00
2026-05-07,EAST,INTRADAY,93.04,1301.7,MARKET_FEED_2,2026-05-07 00:25:00
2026-05-07,EAST,INTRADAY,83.25,1596.2,MARKET_FEED_2,2026-05-07 00:30:00
2026-05-07,EAST,DAY_AHEAD,43.45,2443.1,MARKET_FEED_2,2026-05-07 00:35:00
2026-05-07,EAST,BALANCING,78.45,2465.9,MARKET_FEED_2,2026-05-07 00:40:00
2026-05-07,EAST,BALANCING,56.95,2144.2,MARKET_FEED_2,2026-05-07 00:45:00
2026-05-07,EAST,DAY_AHEAD,50.87,1010.1,MARKET_FEED_2,2026-05-07 00:50:00
2026-05-07,EAST,INTRADAY,75.37,1943.0,MARKET_FEED_2,2026-05-07 00:55:00
2026-05-07,EAST,BALANCING,57.86,1885.5,MARKET_FEED_2,2026-05-07 01:00:00
2026-05-07,EAST,INTRADAY,41.5,1197.5,MARKET_FEED_2,2026-05-07 01:05:00
2026-05-07,EAST,DAY_AHEAD,72.17,2403.4,MARKET_FEED_2,2026-05-07 01:10:00
2026-05-07,EAST,INTRADAY,89.92,1176.3,MARKET_FEED_2,2026-05-07 01:15:00
2026-05-07,EAST,DAY_AHEAD,73.12,1589.3,MARKET_FEED_2,2026-05-07 01:20:00
2026-05-07,EAST,BALANCING,53.13,1494.1,MARKET_FEED_2,2026-05-07 01:25:00
2026-05-07,EAST,DAY_AHEAD,37.72,863.3,MARKET_FEED_2,2026-05-07 01:30:00
2026-05-07,EAST,INTRADAY,41.97,1199.2,MARKET_FEED_2,2026-05-07 01:35:00
2026-05-07,EAST,BALANCING,43.14,1571.2,MARKET_FEED_2,2026-05-07 01:40:00
2026-05-07,EAST,BALANCING,91.96,1984.0,MARKET_FEED_2,2026-05-07 01:45:00
2026-05-07,EAST,BALANCING,60.15,2061.9,MARKET_FEED_2,2026-05-07 01:50:00
2026-05-07,EAST,DAY_AHEAD,88.12,1913.4,MARKET_FEED_2,2026-05-07 01:55:00
2026-05-07,EAST,INTRADAY,71.94,2396.4,MARKET_FEED_2,2026-05-07 02:00:00
2026-05-07,EAST,INTRADAY,36.96,1429.9,MARKET_FEED_2,2026-05-07 02:05:00
2026-05-07,EAST,INTRADAY,61.68,1201.4,MARKET_FEED_2,2026-05-07 02:10:00
2026-05-07,EAST,INTRADAY,40.96,1965.7,MARKET_FEED_2,2026-05-07 02:15:00
2026-05-07,EAST,BALANCING,89.1,1896.2,MARKET_FEED_2,2026-05-07 02:20:00
2026-05-07,EAST,DAY_AHEAD,58.89,1122.7,MARKET_FEED_2,2026-05-07 02:25:00
2026-05-07,EAST,DAY_AHEAD,91.94,2201.1,MARKET_FEED_2,2026-05-07 02:30:00
2026-05-07,EAST,DAY_AHEAD,74.77,1890.9,MARKET_FEED_2,2026-05-07 02:35:00
2026-05-07,EAST,BALANCING,93.27,886.0,MARKET_FEED_2,2026-05-07 02:40:00
2026-05-07,EAST,INTRADAY,49.61,1014.1,MARKET_FEED_2,2026-05-07 02:45:00
2026-05-07,EAST,BALANCING,47.31,2210.7,MARKET_FEED_2,2026-05-07 02:50:00
2026-05-07,EAST,BALANCING,47.43,1167.1,MARKET_FEED_2,2026-05-07 02:55:00
2026-05-07,EAST,DAY_AHEAD,54.71,1050.8,MARKET_FEED_2,2026-05-07 03:00:00
2026-05-07,EAST,BALANCING,35.17,2259.3,MARKET_FEED_2,2026-05-07 03:05:00
2026-05-07,EAST,DAY_AHEAD,94.25,1718.4,MARKET_FEED_2,2026-05-07 03:10:00
2026-05-07,EAST,DAY_AHEAD,41.6,2273.0,MARKET_FEED_2,2026-05-07 03:15:00
2026-05-07,EAST,DAY_AHEAD,35.89,2143.0,MARKET_FEED_2,2026-05-07 03:20:00
2026-05-07,EAST,DAY_AHEAD,70.33,826.8,MARKET_FEED_2,2026-05-07 03:25:00
2026-05-07,EAST,INTRADAY,38.14,2060.9,MARKET_FEED_2,2026-05-07 03:30:00
2026-05-07,EAST,BALANCING,41.82,908.0,MARKET_FEED_2,2026-05-07 03:35:00
2026-05-07,EAST,INTRADAY,81.68,1672.5,MARKET_FEED_2,2026-05-07 03:40:00
2026-05-07,EAST,DAY_AHEAD,62.12,1176.6,MARKET_FEED_2,2026-05-07 03:45:00
2026-05-07,EAST,BALANCING,37.6,2131.5,MARKET_FEED_2,2026-05-07 03:50:00
2026-05-07,EAST,BALANCING,66.29,1578.7,MARKET_FEED_2,2026-05-07 03:55:00
2026-05-07,EAST,DAY_AHEAD,38.65,1614.3,MARKET_FEED_2,2026-05-07 04:00:00
2026-05-07,EAST,INTRADAY,60.58,983.5,MARKET_FEED_2,2026-05-07 04:05:00
