event_date,region,market_type,price_eur_mwh,volume_mwh,source_system,last_updated_ts
2026-05-08,NORTH,BALANCING,81.25,2219.7,MARKET_FEED_2,2026-05-08 00:00:00
2026-05-08,NORTH,BALANCING,37.26,1372.5,MARKET_FEED_2,2026-05-08 00:05:00
2026-05-08,NORTH,BALANCING,42.86,1440.4,MARKET_FEED_2,2026-05-08 00:10:00
2026-05-08,NORTH,DAY_AHEAD,45.85,1977.8,MARKET_FEED_2,2026-05-08 00:15:00
2026-05-08,NORTH,BALANCING,83.54,1081.4,MARKET_FEED_2,2026-05-08 00:20:00
2026-05-08,NORTH,INTRADAY,37.62,1419.3,MARKET_FEED_2,2026-05-08 00:25:00
2026-05-08,NORTH,BALANCING,49.25,1555.1,MARKET_FEED_2,2026-05-08 00:30:00
2026-05-08,NORTH,INTRADAY,80.14,2132.5,MARKET_FEED_2,2026-05-08 00:35:00
2026-05-08,NORTH,DAY_AHEAD,67.04,1326.1,MARKET_FEED_2,2026-05-08 00:40:00
2026-05-08,NORTH,INTRADAY,89.24,1129.8,MARKET_FEED_2,2026-05-08 00:45:00
2026-05-08,NORTH,BALANCING,91.83,2473.5,MARKET_FEED_2,2026-05-08 00:50:00
2026-05-08,NORTH,INTRADAY,81.17,2122.8,MARKET_FEED_2,2026-05-08 00:55:00
2026-05-08,NORTH,BALANCING,66.65,2442.7,MARKET_FEED_2,2026-05-08 01:00:00
2026-05-08,NORTH,DAY_AHEAD,83.08,1035.3,MARKET_FEED_2,2026-05-08 01:05:00
2026-05-08,NORTH,INTRADAY,38.13,1617.0,MARKET_FEED_2,2026-05-08 01:10:00
2026-05-08,NORTH,INTRADAY,68.27,974.4,MARKET_FEED_2,2026-05-08 01:15:00
2026-05-08,NORTH,BALANCING,86.07,1284.6,MARKET_FEED_2,2026-05-08 01:20:00
2026-05-08,NORTH,DAY_AHEAD,51.37,2339.0,MARKET_FEED_2,2026-05-08 01:25:00
2026-05-08,NORTH,DAY_AHEAD,84.86,955.9,MARKET_FEED_2,2026-05-08 01:30:00
2026-05-08,NORTH,DAY_AHEAD,84.0,2303.9,MARKET_FEED_2,2026-05-08 01:35:00
2026-05-08,NORTH,DAY_AHEAD,59.89,1474.0,MARKET_FEED_2,2026-05-08 01:40:00
2026-05-08,NORTH,INTRADAY,49.15,2490.7,MARKET_FEED_2,2026-05-08 01:45:00
2026-05-08,NORTH,INTRADAY,48.47,1341.8,MARKET_FEED_2,2026-05-08 01:50:00
2026-05-08,NORTH,DAY_AHEAD,85.35,1904.9,MARKET_FEED_2,2026-05-08 01:55:00
2026-05-08,NORTH,DAY_AHEAD,43.26,1287.7,MARKET_FEED_2,2026-05-08 02:00:00
2026-05-08,NORTH,INTRADAY,76.76,1035.9,MARKET_FEED_2,2026-05-08 02:05:00
2026-05-08,NORTH,BALANCING,63.15,1846.1,MARKET_FEED_2,2026-05-08 02:10:00
2026-05-08,NORTH,DAY_AHEAD,36.14,1166.6,MARKET_FEED_2,2026-05-08 02:15:00
2026-05-08,NORTH,DAY_AHEAD,67.93,2036.3,MARKET_FEED_2,2026-05-08 02:20:00
2026-05-08,NORTH,BALANCING,60.4,2119.5,MARKET_FEED_2,2026-05-08 02:25:00
2026-05-08,NORTH,DAY_AHEAD,53.07,881.2,MARKET_FEED_2,2026-05-08 02:30:00
2026-05-08,NORTH,INTRADAY,73.34,1858.8,MARKET_FEED_2,2026-05-08 02:35:00
2026-05-08,NORTH,DAY_AHEAD,41.65,2338.7,MARKET_FEED_2,2026-05-08 02:40:00
2026-05-08,NORTH,BALANCING,67.16,1874.3,MARKET_FEED_2,2026-05-08 02:45:00
2026-05-08,NORTH,BALANCING,49.52,1044.1,MARKET_FEED_2,2026-05-08 02:50:00
2026-05-08,NORTH,INTRADAY,35.09,1399.8,MARKET_FEED_2,2026-05-08 02:55:00
2026-05-08,NORTH,BALANCING,59.99,1929.4,MARKET_FEED_2,2026-05-08 03:00:00
2026-05-08,NORTH,DAY_AHEAD,66.41,1413.0,MARKET_FEED_2,2026-05-08 03:05:00
2026-05-08,NORTH,BALANCING,67.64,2136.9,MARKET_FEED_2,2026-05-08 03:10:00
2026-05-08,NORTH,BALANCING,68.25,1463.8,MARKET_FEED_2,2026-05-08 03:15:00
2026-05-08,NORTH,INTRADAY,37.61,1457.7,MARKET_FEED_2,2026-05-08 03:20:00
2026-05-08,NORTH,INTRADAY,50.22,827.6,MARKET_FEED_2,2026-05-08 03:25:00
2026-05-08,NORTH,DAY_AHEAD,55.69,2046.0,MARKET_FEED_2,2026-05-08 03:30:00
2026-05-08,NORTH,BALANCING,41.22,1789.2,MARKET_FEED_2,2026-05-08 03:35:00
2026-05-08,NORTH,INTRADAY,43.0,1398.9,MARKET_FEED_2,2026-05-08 03:40:00
2026-05-08,NORTH,INTRADAY,83.81,1097.7,MARKET_FEED_2,2026-05-08 03:45:00
2026-05-08,NORTH,BALANCING,62.88,1982.2,MARKET_FEED_2,2026-05-08 03:50:00
2026-05-08,NORTH,BALANCING,45.94,1029.2,MARKET_FEED_2,2026-05-08 03:55:00
2026-05-08,NORTH,BALANCING,81.57,1578.1,MARKET_FEED_2,2026-05-08 04:00:00
2026-05-08,NORTH,INTRADAY,47.1,2144.9,MARKET_FEED_2,2026-05-08 04:05:00
