event_date,region,market_type,price_eur_mwh,volume_mwh,source_system,last_updated_ts
2026-05-07,SOUTH,INTRADAY,55.39,2139.1,MARKET_FEED_1,2026-05-07 00:00:00
2026-05-07,SOUTH,INTRADAY,84.23,1280.8,MARKET_FEED_1,2026-05-07 00:05:00
2026-05-07,SOUTH,INTRADAY,85.25,1785.9,MARKET_FEED_1,2026-05-07 00:10:00
2026-05-07,SOUTH,BALANCING,64.38,1052.6,MARKET_FEED_1,2026-05-07 00:15:00
2026-05-07,SOUTH,BALANCING,64.06,1365.1,MARKET_FEED_1,2026-05-07 00:20:00
2026-05-07,SOUTH,BALANCING,57.63,2385.8,MARKET_FEED_1,2026-05-07 00:25:00
2026-05-07,SOUTH,DAY_AHEAD,93.85,1206.0,MARKET_FEED_1,2026-05-07 00:30:00
2026-05-07,SOUTH,INTRADAY,49.01,2118.4,MARKET_FEED_1,2026-05-07 00:35:00
2026-05-07,SOUTH,DAY_AHEAD,54.09,1604.1,MARKET_FEED_1,2026-05-07 00:40:00
2026-05-07,SOUTH,INTRADAY,58.16,1928.3,MARKET_FEED_1,2026-05-07 00:45:00
2026-05-07,SOUTH,BALANCING,93.85,1642.1,MARKET_FEED_1,2026-05-07 00:50:00
2026-05-07,SOUTH,DAY_AHEAD,42.57,2441.1,MARKET_FEED_1,2026-05-07 00:55:00
2026-05-07,SOUTH,INTRADAY,87.18,2286.1,MARKET_FEED_1,2026-05-07 01:00:00
2026-05-07,SOUTH,INTRADAY,40.98,2347.8,MARKET_FEED_1,2026-05-07 01:05:00
2026-05-07,SOUTH,DAY_AHEAD,78.35,1497.0,MARKET_FEED_1,2026-05-07 01:10:00
2026-05-07,SOUTH,BALANCING,93.2,927.2,MARKET_FEED_1,2026-05-07 01:15:00
2026-05-07,SOUTH,INTRADAY,55.31,1977.6,MARKET_FEED_1,2026-05-07 01:20:00
2026-05-07,SOUTH,BALANCING,39.82,1358.6,MARKET_FEED_1,2026-05-07 01:25:00
2026-05-07,SOUTH,BALANCING,86.56,1446.0,MARKET_FEED_1,2026-05-07 01:30:00
2026-05-07,SOUTH,INTRADAY,72.61,2308.6,MARKET_FEED_1,2026-05-07 01:35:00
2026-05-07,SOUTH,INTRADAY,87.34,861.0,MARKET_FEED_1,2026-05-07 01:40:00
2026-05-07,SOUTH,DAY_AHEAD,49.09,1963.5,MARKET_FEED_1,2026-05-07 01:45:00
2026-05-07,SOUTH,INTRADAY,94.85,2069.5,MARKET_FEED_1,2026-05-07 01:50:00
2026-05-07,SOUTH,INTRADAY,93.7,2092.6,MARKET_FEED_1,2026-05-07 01:55:00
2026-05-07,SOUTH,BALANCING,87.35,1554.3,MARKET_FEED_1,2026-05-07 02:00:00
2026-05-07,SOUTH,BALANCING,52.97,849.2,MARKET_FEED_1,2026-05-07 02:05:00
2026-05-07,SOUTH,INTRADAY,82.77,1298.7,MARKET_FEED_1,2026-05-07 02:10:00
2026-05-07,SOUTH,INTRADAY,60.84,1215.1,MARKET_FEED_1,2026-05-07 02:15:00
2026-05-07,SOUTH,INTRADAY,68.96,2147.3,MARKET_FEED_1,2026-05-07 02:20:00
2026-05-07,SOUTH,DAY_AHEAD,45.5,1836.1,MARKET_FEED_1,2026-05-07 02:25:00
2026-05-07,SOUTH,INTRADAY,72.18,1209.4,MARKET_FEED_1,2026-05-07 02:30:00
2026-05-07,SOUTH,BALANCING,43.59,1584.0,MARKET_FEED_1,2026-05-07 02:35:00
2026-05-07,SOUTH,INTRADAY,62.57,1933.6,MARKET_FEED_1,2026-05-07 02:40:00
2026-05-07,SOUTH,INTRADAY,89.07,1951.9,MARKET_FEED_1,2026-05-07 02:45:00
2026-05-07,SOUTH,DAY_AHEAD,39.43,2406.9,MARKET_FEED_1,2026-05-07 02:50:00
2026-05-07,SOUTH,BALANCING,52.95,2435.4,MARKET_FEED_1,2026-05-07 02:55:00
2026-05-07,SOUTH,BALANCING,50.01,2237.0,MARKET_FEED_1,2026-05-07 03:00:00
2026-05-07,SOUTH,DAY_AHEAD,94.96,2250.7,MARKET_FEED_1,2026-05-07 03:05:00
2026-05-07,SOUTH,DAY_AHEAD,49.23,1772.3,MARKET_FEED_1,2026-05-07 03:10:00
2026-05-07,SOUTH,BALANCING,52.75,1988.8,MARKET_FEED_1,2026-05-07 03:15:00
2026-05-07,SOUTH,DAY_AHEAD,93.68,1919.0,MARKET_FEED_1,2026-05-07 03:20:00
2026-05-07,SOUTH,INTRADAY,35.49,2270.6,MARKET_FEED_1,2026-05-07 03:25:00
2026-05-07,SOUTH,BALANCING,93.42,2348.0,MARKET_FEED_1,2026-05-07 03:30:00
2026-05-07,SOUTH,BALANCING,64.8,2337.1,MARKET_FEED_1,2026-05-07 03:35:00
2026-05-07,SOUTH,INTRADAY,81.54,1191.2,MARKET_FEED_1,2026-05-07 03:40:00
2026-05-07,SOUTH,INTRADAY,48.14,1123.2,MARKET_FEED_1,2026-05-07 03:45:00
2026-05-07,SOUTH,INTRADAY,75.67,2025.6,MARKET_FEED_1,2026-05-07 03:50:00
2026-05-07,SOUTH,BALANCING,75.85,1032.5,MARKET_FEED_1,2026-05-07 03:55:00
2026-05-07,SOUTH,DAY_AHEAD,89.2,1898.8,MARKET_FEED_1,2026-05-07 04:00:00
2026-05-07,SOUTH,INTRADAY,82.32,856.7,MARKET_FEED_1,2026-05-07 04:05:00
