event_date,region,market_type,price_eur_mwh,volume_mwh,source_system,last_updated_ts
2026-05-09,WEST,BALANCING,53.46,2327.9,MARKET_FEED_2,2026-05-09 00:00:00
2026-05-09,WEST,BALANCING,72.76,1814.7,MARKET_FEED_2,2026-05-09 00:05:00
2026-05-09,WEST,INTRADAY,93.02,2130.9,MARKET_FEED_2,2026-05-09 00:10:00
2026-05-09,WEST,BALANCING,69.66,2026.4,MARKET_FEED_2,2026-05-09 00:15:00
2026-05-09,WEST,BALANCING,63.83,1691.2,MARKET_FEED_2,2026-05-09 00:20:00
2026-05-09,WEST,BALANCING,72.18,2230.0,MARKET_FEED_2,2026-05-09 00:25:00
2026-05-09,WEST,DAY_AHEAD,84.3,1211.7,MARKET_FEED_2,2026-05-09 00:30:00
2026-05-09,WEST,BALANCING,91.89,986.8,MARKET_FEED_2,2026-05-09 00:35:00
2026-05-09,WEST,DAY_AHEAD,61.46,1511.9,MARKET_FEED_2,2026-05-09 00:40:00
2026-05-09,WEST,INTRADAY,76.43,1497.6,MARKET_FEED_2,2026-05-09 00:45:00
2026-05-09,WEST,BALANCING,90.23,2283.8,MARKET_FEED_2,2026-05-09 00:50:00
2026-05-09,WEST,BALANCING,78.64,1999.8,MARKET_FEED_2,2026-05-09 00:55:00
2026-05-09,WEST,BALANCING,47.44,1352.6,MARKET_FEED_2,2026-05-09 01:00:00
2026-05-09,WEST,BALANCING,63.7,1440.6,MARKET_FEED_2,2026-05-09 01:05:00
2026-05-09,WEST,DAY_AHEAD,62.58,1706.3,MARKET_FEED_2,2026-05-09 01:10:00
2026-05-09,WEST,BALANCING,56.26,2112.4,MARKET_FEED_2,2026-05-09 01:15:00
2026-05-09,WEST,BALANCING,75.84,2166.2,MARKET_FEED_2,2026-05-09 01:20:00
2026-05-09,WEST,INTRADAY,71.6,1126.8,MARKET_FEED_2,2026-05-09 01:25:00
2026-05-09,WEST,DAY_AHEAD,51.74,1307.4,MARKET_FEED_2,2026-05-09 01:30:00
2026-05-09,WEST,INTRADAY,81.27,1998.3,MARKET_FEED_2,2026-05-09 01:35:00
2026-05-09,WEST,BALANCING,77.3,1339.0,MARKET_FEED_2,2026-05-09 01:40:00
2026-05-09,WEST,INTRADAY,68.63,2388.6,MARKET_FEED_2,2026-05-09 01:45:00
2026-05-09,WEST,BALANCING,51.41,1007.2,MARKET_FEED_2,2026-05-09 01:50:00
2026-05-09,WEST,BALANCING,67.59,2322.8,MARKET_FEED_2,2026-05-09 01:55:00
2026-05-09,WEST,INTRADAY,84.1,2422.8,MARKET_FEED_2,2026-05-09 02:00:00
2026-05-09,WEST,DAY_AHEAD,52.43,1289.0,MARKET_FEED_2,2026-05-09 02:05:00
2026-05-09,WEST,BALANCING,39.74,2370.8,MARKET_FEED_2,2026-05-09 02:10:00
2026-05-09,WEST,BALANCING,50.39,1614.4,MARKET_FEED_2,2026-05-09 02:15:00
2026-05-09,WEST,DAY_AHEAD,84.68,1260.9,MARKET_FEED_2,2026-05-09 02:20:00
2026-05-09,WEST,BALANCING,76.77,1033.4,MARKET_FEED_2,2026-05-09 02:25:00
2026-05-09,WEST,BALANCING,79.45,1206.8,MARKET_FEED_2,2026-05-09 02:30:00
2026-05-09,WEST,DAY_AHEAD,75.19,1702.8,MARKET_FEED_2,2026-05-09 02:35:00
2026-05-09,WEST,BALANCING,48.97,970.3,MARKET_FEED_2,2026-05-09 02:40:00
2026-05-09,WEST,INTRADAY,78.04,970.9,MARKET_FEED_2,2026-05-09 02:45:00
2026-05-09,WEST,DAY_AHEAD,35.31,1735.6,MARKET_FEED_2,2026-05-09 02:50:00
2026-05-09,WEST,DAY_AHEAD,59.41,2389.6,MARKET_FEED_2,2026-05-09 02:55:00
2026-05-09,WEST,INTRADAY,63.65,1139.1,MARKET_FEED_2,2026-05-09 03:00:00
2026-05-09,WEST,INTRADAY,54.27,1898.0,MARKET_FEED_2,2026-05-09 03:05:00
2026-05-09,WEST,DAY_AHEAD,74.14,1194.8,MARKET_FEED_2,2026-05-09 03:10:00
2026-05-09,WEST,BALANCING,78.39,2392.3,MARKET_FEED_2,2026-05-09 03:15:00
2026-05-09,WEST,DAY_AHEAD,60.07,2223.9,MARKET_FEED_2,2026-05-09 03:20:00
2026-05-09,WEST,DAY_AHEAD,94.83,1474.9,MARKET_FEED_2,2026-05-09 03:25:00
2026-05-09,WEST,INTRADAY,46.18,2073.3,MARKET_FEED_2,2026-05-09 03:30:00
2026-05-09,WEST,INTRADAY,87.6,815.8,MARKET_FEED_2,2026-05-09 03:35:00
2026-05-09,WEST,BALANCING,71.17,2378.4,MARKET_FEED_2,2026-05-09 03:40:00
2026-05-09,WEST,INTRADAY,52.07,2481.5,MARKET_FEED_2,2026-05-09 03:45:00
2026-05-09,WEST,BALANCING,66.46,2311.7,MARKET_FEED_2,2026-05-09 03:50:00
2026-05-09,WEST,DAY_AHEAD,86.06,1595.6,MARKET_FEED_2,2026-05-09 03:55:00
2026-05-09,WEST,DAY_AHEAD,83.53,1362.2,MARKET_FEED_2,2026-05-09 04:00:00
2026-05-09,WEST,BALANCING,62.53,1237.4,MARKET_FEED_2,2026-05-09 04:05:00
