event_date,region,temperature_c,wind_speed_kmh,precipitation_mm,weather_alert_level,source_system,last_updated_ts
2026-05-08,CENTRAL,-2.3,5.9,3.2,LOW,WEATHER_FEED_2,2026-05-08 00:00:00
2026-05-08,CENTRAL,27.5,38.5,1.8,LOW,WEATHER_FEED_2,2026-05-08 00:10:00
2026-05-08,CENTRAL,18.1,18.3,9.0,LOW,WEATHER_FEED_2,2026-05-08 00:20:00
2026-05-08,CENTRAL,7.5,26.5,7.4,HIGH,WEATHER_FEED_2,2026-05-08 00:30:00
2026-05-08,CENTRAL,19.7,48.0,8.9,HIGH,WEATHER_FEED_2,2026-05-08 00:40:00
2026-05-08,CENTRAL,8.4,29.6,9.6,HIGH,WEATHER_FEED_2,2026-05-08 00:50:00
2026-05-08,CENTRAL,5.2,37.6,11.1,MEDIUM,WEATHER_FEED_2,2026-05-08 01:00:00
2026-05-08,CENTRAL,9.3,44.0,8.2,HIGH,WEATHER_FEED_2,2026-05-08 01:10:00
2026-05-08,CENTRAL,-2.3,41.7,2.4,MEDIUM,WEATHER_FEED_2,2026-05-08 01:20:00
2026-05-08,CENTRAL,22.6,50.4,8.5,HIGH,WEATHER_FEED_2,2026-05-08 01:30:00
2026-05-08,CENTRAL,7.8,33.6,8.9,LOW,WEATHER_FEED_2,2026-05-08 01:40:00
2026-05-08,CENTRAL,20.8,53.1,3.5,LOW,WEATHER_FEED_2,2026-05-08 01:50:00
2026-05-08,CENTRAL,27.5,6.9,11.5,HIGH,WEATHER_FEED_2,2026-05-08 02:00:00
2026-05-08,CENTRAL,12.4,22.6,5.1,HIGH,WEATHER_FEED_2,2026-05-08 02:10:00
2026-05-08,CENTRAL,4.5,11.4,10.2,LOW,WEATHER_FEED_2,2026-05-08 02:20:00
2026-05-08,CENTRAL,6.6,39.9,1.9,LOW,WEATHER_FEED_2,2026-05-08 02:30:00
2026-05-08,CENTRAL,25.7,34.0,9.3,HIGH,WEATHER_FEED_2,2026-05-08 02:40:00
2026-05-08,CENTRAL,15.7,37.4,5.9,HIGH,WEATHER_FEED_2,2026-05-08 02:50:00
2026-05-08,CENTRAL,13.6,6.8,8.5,HIGH,WEATHER_FEED_2,2026-05-08 03:00:00
2026-05-08,CENTRAL,3.0,12.6,0.8,HIGH,WEATHER_FEED_2,2026-05-08 03:10:00
2026-05-08,CENTRAL,1.1,31.2,4.8,MEDIUM,WEATHER_FEED_2,2026-05-08 03:20:00
2026-05-08,CENTRAL,3.1,14.1,4.0,MEDIUM,WEATHER_FEED_2,2026-05-08 03:30:00
2026-05-08,CENTRAL,5.4,52.4,7.4,MEDIUM,WEATHER_FEED_2,2026-05-08 03:40:00
2026-05-08,CENTRAL,27.9,45.8,11.8,LOW,WEATHER_FEED_2,2026-05-08 03:50:00
2026-05-08,CENTRAL,-0.3,21.0,2.9,HIGH,WEATHER_FEED_2,2026-05-08 04:00:00
2026-05-08,CENTRAL,15.6,35.3,11.5,HIGH,WEATHER_FEED_2,2026-05-08 04:10:00
2026-05-08,CENTRAL,24.3,22.8,9.6,LOW,WEATHER_FEED_2,2026-05-08 04:20:00
2026-05-08,CENTRAL,8.3,31.1,3.4,HIGH,WEATHER_FEED_2,2026-05-08 04:30:00
2026-05-08,CENTRAL,22.3,22.5,9.6,MEDIUM,WEATHER_FEED_2,2026-05-08 04:40:00
2026-05-08,CENTRAL,11.6,18.4,7.8,MEDIUM,WEATHER_FEED_2,2026-05-08 04:50:00
2026-05-08,CENTRAL,12.4,52.3,2.0,HIGH,WEATHER_FEED_2,2026-05-08 05:00:00
2026-05-08,CENTRAL,13.1,35.6,2.5,HIGH,WEATHER_FEED_2,2026-05-08 05:10:00
2026-05-08,CENTRAL,20.8,48.0,5.1,LOW,WEATHER_FEED_2,2026-05-08 05:20:00
2026-05-08,CENTRAL,2.6,46.1,10.5,HIGH,WEATHER_FEED_2,2026-05-08 05:30:00
2026-05-08,CENTRAL,20.8,36.6,11.3,HIGH,WEATHER_FEED_2,2026-05-08 05:40:00
2026-05-08,CENTRAL,18.0,4.2,8.6,LOW,WEATHER_FEED_2,2026-05-08 05:50:00
2026-05-08,CENTRAL,-1.2,5.8,9.5,HIGH,WEATHER_FEED_2,2026-05-08 06:00:00
2026-05-08,CENTRAL,-1.7,45.7,10.9,MEDIUM,WEATHER_FEED_2,2026-05-08 06:10:00
2026-05-08,CENTRAL,8.4,35.8,5.2,LOW,WEATHER_FEED_2,2026-05-08 06:20:00
2026-05-08,CENTRAL,8.5,9.2,0.1,HIGH,WEATHER_FEED_2,2026-05-08 06:30:00
2026-05-08,CENTRAL,15.8,42.3,7.0,HIGH,WEATHER_FEED_2,2026-05-08 06:40:00
2026-05-08,CENTRAL,23.1,21.6,6.0,MEDIUM,WEATHER_FEED_2,2026-05-08 06:50:00
2026-05-08,CENTRAL,21.2,18.7,1.0,MEDIUM,WEATHER_FEED_2,2026-05-08 07:00:00
2026-05-08,CENTRAL,8.2,45.8,0.4,LOW,WEATHER_FEED_2,2026-05-08 07:10:00
2026-05-08,CENTRAL,13.1,10.1,4.7,HIGH,WEATHER_FEED_2,2026-05-08 07:20:00
2026-05-08,CENTRAL,5.4,36.0,3.6,HIGH,WEATHER_FEED_2,2026-05-08 07:30:00
2026-05-08,CENTRAL,16.7,52.8,0.1,HIGH,WEATHER_FEED_2,2026-05-08 07:40:00
2026-05-08,CENTRAL,0.5,5.2,6.9,MEDIUM,WEATHER_FEED_2,2026-05-08 07:50:00
2026-05-08,CENTRAL,13.2,52.2,3.7,HIGH,WEATHER_FEED_2,2026-05-08 08:00:00
2026-05-08,CENTRAL,19.7,40.7,2.5,HIGH,WEATHER_FEED_2,2026-05-08 08:10:00
