event_date,region,temperature_c,wind_speed_kmh,precipitation_mm,weather_alert_level,source_system,last_updated_ts
2026-05-07,EAST,7.0,40.1,8.2,HIGH,WEATHER_FEED_2,2026-05-07 00:00:00
2026-05-07,EAST,21.1,50.1,8.1,HIGH,WEATHER_FEED_2,2026-05-07 00:10:00
2026-05-07,EAST,5.6,11.8,7.9,HIGH,WEATHER_FEED_2,2026-05-07 00:20:00
2026-05-07,EAST,1.8,8.1,1.5,MEDIUM,WEATHER_FEED_2,2026-05-07 00:30:00
2026-05-07,EAST,19.2,32.1,11.0,HIGH,WEATHER_FEED_2,2026-05-07 00:40:00
2026-05-07,EAST,24.8,37.0,2.7,LOW,WEATHER_FEED_2,2026-05-07 00:50:00
2026-05-07,EAST,19.8,19.0,9.5,MEDIUM,WEATHER_FEED_2,2026-05-07 01:00:00
2026-05-07,EAST,7.9,33.4,5.6,LOW,WEATHER_FEED_2,2026-05-07 01:10:00
2026-05-07,EAST,11.1,48.1,7.0,HIGH,WEATHER_FEED_2,2026-05-07 01:20:00
2026-05-07,EAST,-1.7,49.3,6.0,HIGH,WEATHER_FEED_2,2026-05-07 01:30:00
2026-05-07,EAST,8.2,18.5,0.6,LOW,WEATHER_FEED_2,2026-05-07 01:40:00
2026-05-07,EAST,0.4,13.4,4.9,HIGH,WEATHER_FEED_2,2026-05-07 01:50:00
2026-05-07,EAST,24.6,54.3,1.7,HIGH,WEATHER_FEED_2,2026-05-07 02:00:00
2026-05-07,EAST,1.8,7.2,4.0,LOW,WEATHER_FEED_2,2026-05-07 02:10:00
2026-05-07,EAST,6.0,6.0,5.4,LOW,WEATHER_FEED_2,2026-05-07 02:20:00
2026-05-07,EAST,20.4,11.8,9.2,MEDIUM,WEATHER_FEED_2,2026-05-07 02:30:00
2026-05-07,EAST,21.1,43.5,1.6,MEDIUM,WEATHER_FEED_2,2026-05-07 02:40:00
2026-05-07,EAST,16.3,24.0,11.6,MEDIUM,WEATHER_FEED_2,2026-05-07 02:50:00
2026-05-07,EAST,-3.9,30.8,8.8,LOW,WEATHER_FEED_2,2026-05-07 03:00:00
2026-05-07,EAST,24.5,42.4,6.4,LOW,WEATHER_FEED_2,2026-05-07 03:10:00
2026-05-07,EAST,17.7,35.6,3.0,HIGH,WEATHER_FEED_2,2026-05-07 03:20:00
2026-05-07,EAST,24.1,19.2,1.2,HIGH,WEATHER_FEED_2,2026-05-07 03:30:00
2026-05-07,EAST,14.8,11.7,9.9,MEDIUM,WEATHER_FEED_2,2026-05-07 03:40:00
2026-05-07,EAST,26.4,26.7,6.2,HIGH,WEATHER_FEED_2,2026-05-07 03:50:00
2026-05-07,EAST,6.8,49.2,11.9,MEDIUM,WEATHER_FEED_2,2026-05-07 04:00:00
2026-05-07,EAST,27.9,28.5,9.0,LOW,WEATHER_FEED_2,2026-05-07 04:10:00
2026-05-07,EAST,26.3,50.7,4.8,LOW,WEATHER_FEED_2,2026-05-07 04:20:00
2026-05-07,EAST,3.2,54.2,2.5,LOW,WEATHER_FEED_2,2026-05-07 04:30:00
2026-05-07,EAST,14.9,11.8,4.4,HIGH,WEATHER_FEED_2,2026-05-07 04:40:00
2026-05-07,EAST,21.3,22.5,7.7,HIGH,WEATHER_FEED_2,2026-05-07 04:50:00
2026-05-07,EAST,15.9,33.9,0.6,LOW,WEATHER_FEED_2,2026-05-07 05:00:00
2026-05-07,EAST,16.9,4.0,8.3,MEDIUM,WEATHER_FEED_2,2026-05-07 05:10:00
2026-05-07,EAST,10.2,9.4,3.0,HIGH,WEATHER_FEED_2,2026-05-07 05:20:00
2026-05-07,EAST,0.9,39.1,7.6,MEDIUM,WEATHER_FEED_2,2026-05-07 05:30:00
2026-05-07,EAST,9.5,8.3,6.2,HIGH,WEATHER_FEED_2,2026-05-07 05:40:00
2026-05-07,EAST,15.4,10.1,10.0,LOW,WEATHER_FEED_2,2026-05-07 05:50:00
2026-05-07,EAST,12.4,35.1,3.4,LOW,WEATHER_FEED_2,2026-05-07 06:00:00
2026-05-07,EAST,11.9,34.7,9.3,HIGH,WEATHER_FEED_2,2026-05-07 06:10:00
2026-05-07,EAST,27.1,21.6,4.9,LOW,WEATHER_FEED_2,2026-05-07 06:20:00
2026-05-07,EAST,-2.7,28.8,2.5,MEDIUM,WEATHER_FEED_2,2026-05-07 06:30:00
2026-05-07,EAST,6.6,3.1,8.1,LOW,WEATHER_FEED_2,2026-05-07 06:40:00
2026-05-07,EAST,22.7,37.8,1.8,LOW,WEATHER_FEED_2,2026-05-07 06:50:00
2026-05-07,EAST,20.9,6.9,8.7,MEDIUM,WEATHER_FEED_2,2026-05-07 07:00:00
2026-05-07,EAST,16.6,26.8,11.7,MEDIUM,WEATHER_FEED_2,2026-05-07 07:10:00
2026-05-07,EAST,10.9,8.2,2.1,LOW,WEATHER_FEED_2,2026-05-07 07:20:00
2026-05-07,EAST,23.3,21.7,8.1,MEDIUM,WEATHER_FEED_2,2026-05-07 07:30:00
2026-05-07,EAST,19.6,7.9,9.1,LOW,WEATHER_FEED_2,2026-05-07 07:40:00
2026-05-07,EAST,-3.7,10.2,7.8,MEDIUM,WEATHER_FEED_2,2026-05-07 07:50:00
2026-05-07,EAST,7.4,25.8,7.5,HIGH,WEATHER_FEED_2,2026-05-07 08:00:00
2026-05-07,EAST,-1.0,45.4,2.2,MEDIUM,WEATHER_FEED_2,2026-05-07 08:10:00
