event_date,region,temperature_c,wind_speed_kmh,precipitation_mm,weather_alert_level,source_system,last_updated_ts
2026-05-08,NORTH,23.2,10.4,2.2,HIGH,WEATHER_FEED_1,2026-05-08 00:00:00
2026-05-08,NORTH,22.7,13.1,2.2,HIGH,WEATHER_FEED_1,2026-05-08 00:10:00
2026-05-08,NORTH,23.3,47.3,11.2,HIGH,WEATHER_FEED_1,2026-05-08 00:20:00
2026-05-08,NORTH,10.8,31.6,3.5,LOW,WEATHER_FEED_1,2026-05-08 00:30:00
2026-05-08,NORTH,4.0,13.3,7.0,MEDIUM,WEATHER_FEED_1,2026-05-08 00:40:00
2026-05-08,NORTH,7.4,37.9,2.8,MEDIUM,WEATHER_FEED_1,2026-05-08 00:50:00
2026-05-08,NORTH,15.8,49.8,3.8,MEDIUM,WEATHER_FEED_1,2026-05-08 01:00:00
2026-05-08,NORTH,6.5,37.3,8.3,LOW,WEATHER_FEED_1,2026-05-08 01:10:00
2026-05-08,NORTH,14.1,22.0,3.8,MEDIUM,WEATHER_FEED_1,2026-05-08 01:20:00
2026-05-08,NORTH,1.4,19.3,9.4,HIGH,WEATHER_FEED_1,2026-05-08 01:30:00
2026-05-08,NORTH,19.7,25.7,10.1,LOW,WEATHER_FEED_1,2026-05-08 01:40:00
2026-05-08,NORTH,17.7,20.2,5.8,MEDIUM,WEATHER_FEED_1,2026-05-08 01:50:00
2026-05-08,NORTH,7.5,18.9,6.6,LOW,WEATHER_FEED_1,2026-05-08 02:00:00
2026-05-08,NORTH,16.7,7.3,3.4,LOW,WEATHER_FEED_1,2026-05-08 02:10:00
2026-05-08,NORTH,24.5,13.2,8.8,HIGH,WEATHER_FEED_1,2026-05-08 02:20:00
2026-05-08,NORTH,-1.6,6.9,0.2,HIGH,WEATHER_FEED_1,2026-05-08 02:30:00
2026-05-08,NORTH,16.2,45.3,6.9,HIGH,WEATHER_FEED_1,2026-05-08 02:40:00
2026-05-08,NORTH,2.8,4.9,3.1,HIGH,WEATHER_FEED_1,2026-05-08 02:50:00
2026-05-08,NORTH,11.1,43.3,4.4,LOW,WEATHER_FEED_1,2026-05-08 03:00:00
2026-05-08,NORTH,24.5,33.7,10.3,LOW,WEATHER_FEED_1,2026-05-08 03:10:00
2026-05-08,NORTH,10.9,29.5,4.8,HIGH,WEATHER_FEED_1,2026-05-08 03:20:00
2026-05-08,NORTH,-3.7,15.4,11.6,HIGH,WEATHER_FEED_1,2026-05-08 03:30:00
2026-05-08,NORTH,17.9,42.4,1.7,LOW,WEATHER_FEED_1,2026-05-08 03:40:00
2026-05-08,NORTH,1.7,52.3,7.9,LOW,WEATHER_FEED_1,2026-05-08 03:50:00
2026-05-08,NORTH,19.5,28.1,4.3,LOW,WEATHER_FEED_1,2026-05-08 04:00:00
2026-05-08,NORTH,20.4,15.1,3.2,LOW,WEATHER_FEED_1,2026-05-08 04:10:00
2026-05-08,NORTH,-2.6,13.8,10.9,MEDIUM,WEATHER_FEED_1,2026-05-08 04:20:00
2026-05-08,NORTH,8.4,50.7,10.6,LOW,WEATHER_FEED_1,2026-05-08 04:30:00
2026-05-08,NORTH,27.4,19.9,8.4,HIGH,WEATHER_FEED_1,2026-05-08 04:40:00
2026-05-08,NORTH,16.3,17.2,8.9,HIGH,WEATHER_FEED_1,2026-05-08 04:50:00
2026-05-08,NORTH,13.4,12.0,7.8,MEDIUM,WEATHER_FEED_1,2026-05-08 05:00:00
2026-05-08,NORTH,14.8,49.7,0.9,MEDIUM,WEATHER_FEED_1,2026-05-08 05:10:00
2026-05-08,NORTH,8.0,50.2,6.2,MEDIUM,WEATHER_FEED_1,2026-05-08 05:20:00
2026-05-08,NORTH,22.2,20.9,9.5,HIGH,WEATHER_FEED_1,2026-05-08 05:30:00
2026-05-08,NORTH,-3.8,48.9,5.3,LOW,WEATHER_FEED_1,2026-05-08 05:40:00
2026-05-08,NORTH,-1.5,36.5,2.5,LOW,WEATHER_FEED_1,2026-05-08 05:50:00
2026-05-08,NORTH,1.0,34.3,9.8,HIGH,WEATHER_FEED_1,2026-05-08 06:00:00
2026-05-08,NORTH,3.4,45.2,8.6,MEDIUM,WEATHER_FEED_1,2026-05-08 06:10:00
2026-05-08,NORTH,17.6,27.9,7.1,HIGH,WEATHER_FEED_1,2026-05-08 06:20:00
2026-05-08,NORTH,22.7,4.2,0.5,HIGH,WEATHER_FEED_1,2026-05-08 06:30:00
2026-05-08,NORTH,15.0,10.0,6.2,HIGH,WEATHER_FEED_1,2026-05-08 06:40:00
2026-05-08,NORTH,0.7,11.6,11.1,HIGH,WEATHER_FEED_1,2026-05-08 06:50:00
2026-05-08,NORTH,26.7,34.2,6.8,LOW,WEATHER_FEED_1,2026-05-08 07:00:00
2026-05-08,NORTH,24.1,40.9,9.9,LOW,WEATHER_FEED_1,2026-05-08 07:10:00
2026-05-08,NORTH,2.9,34.5,5.7,MEDIUM,WEATHER_FEED_1,2026-05-08 07:20:00
2026-05-08,NORTH,1.5,46.2,7.2,HIGH,WEATHER_FEED_1,2026-05-08 07:30:00
2026-05-08,NORTH,22.3,12.5,7.9,MEDIUM,WEATHER_FEED_1,2026-05-08 07:40:00
2026-05-08,NORTH,1.4,38.7,11.1,HIGH,WEATHER_FEED_1,2026-05-08 07:50:00
2026-05-08,NORTH,14.9,15.0,4.6,LOW,WEATHER_FEED_1,2026-05-08 08:00:00
2026-05-08,NORTH,-3.5,30.2,10.9,HIGH,WEATHER_FEED_1,2026-05-08 08:10:00
