event_date,region,temperature_c,wind_speed_kmh,precipitation_mm,weather_alert_level,source_system,last_updated_ts
2026-05-08,SOUTH,9.4,10.8,1.2,MEDIUM,WEATHER_FEED_2,2026-05-08 00:00:00
2026-05-08,SOUTH,24.9,34.2,10.5,HIGH,WEATHER_FEED_2,2026-05-08 00:10:00
2026-05-08,SOUTH,12.1,9.1,5.8,LOW,WEATHER_FEED_2,2026-05-08 00:20:00
2026-05-08,SOUTH,24.9,31.0,0.0,HIGH,WEATHER_FEED_2,2026-05-08 00:30:00
2026-05-08,SOUTH,16.8,30.1,4.4,LOW,WEATHER_FEED_2,2026-05-08 00:40:00
2026-05-08,SOUTH,18.3,25.3,11.3,MEDIUM,WEATHER_FEED_2,2026-05-08 00:50:00
2026-05-08,SOUTH,21.3,22.8,7.1,HIGH,WEATHER_FEED_2,2026-05-08 01:00:00
2026-05-08,SOUTH,25.1,46.5,6.9,MEDIUM,WEATHER_FEED_2,2026-05-08 01:10:00
2026-05-08,SOUTH,0.3,27.8,2.8,LOW,WEATHER_FEED_2,2026-05-08 01:20:00
2026-05-08,SOUTH,5.1,48.6,4.9,LOW,WEATHER_FEED_2,2026-05-08 01:30:00
2026-05-08,SOUTH,-3.8,41.7,0.1,HIGH,WEATHER_FEED_2,2026-05-08 01:40:00
2026-05-08,SOUTH,-0.2,3.4,7.9,HIGH,WEATHER_FEED_2,2026-05-08 01:50:00
2026-05-08,SOUTH,21.7,24.3,1.3,MEDIUM,WEATHER_FEED_2,2026-05-08 02:00:00
2026-05-08,SOUTH,16.9,16.2,10.3,MEDIUM,WEATHER_FEED_2,2026-05-08 02:10:00
2026-05-08,SOUTH,14.1,34.8,11.9,MEDIUM,WEATHER_FEED_2,2026-05-08 02:20:00
2026-05-08,SOUTH,20.2,24.5,9.4,MEDIUM,WEATHER_FEED_2,2026-05-08 02:30:00
2026-05-08,SOUTH,1.7,32.1,5.8,MEDIUM,WEATHER_FEED_2,2026-05-08 02:40:00
2026-05-08,SOUTH,14.5,43.3,4.8,LOW,WEATHER_FEED_2,2026-05-08 02:50:00
2026-05-08,SOUTH,23.4,37.3,9.0,MEDIUM,WEATHER_FEED_2,2026-05-08 03:00:00
2026-05-08,SOUTH,21.1,52.4,1.2,HIGH,WEATHER_FEED_2,2026-05-08 03:10:00
2026-05-08,SOUTH,8.8,20.6,6.6,HIGH,WEATHER_FEED_2,2026-05-08 03:20:00
2026-05-08,SOUTH,17.9,5.7,4.7,HIGH,WEATHER_FEED_2,2026-05-08 03:30:00
2026-05-08,SOUTH,-3.8,7.7,1.7,HIGH,WEATHER_FEED_2,2026-05-08 03:40:00
2026-05-08,SOUTH,9.9,6.3,2.7,LOW,WEATHER_FEED_2,2026-05-08 03:50:00
2026-05-08,SOUTH,15.5,40.7,11.2,MEDIUM,WEATHER_FEED_2,2026-05-08 04:00:00
2026-05-08,SOUTH,15.6,30.1,8.5,HIGH,WEATHER_FEED_2,2026-05-08 04:10:00
2026-05-08,SOUTH,-2.2,43.2,2.1,MEDIUM,WEATHER_FEED_2,2026-05-08 04:20:00
2026-05-08,SOUTH,10.0,13.5,7.9,HIGH,WEATHER_FEED_2,2026-05-08 04:30:00
2026-05-08,SOUTH,5.2,4.7,7.2,HIGH,WEATHER_FEED_2,2026-05-08 04:40:00
2026-05-08,SOUTH,18.4,35.0,8.1,MEDIUM,WEATHER_FEED_2,2026-05-08 04:50:00
2026-05-08,SOUTH,3.7,3.0,1.9,MEDIUM,WEATHER_FEED_2,2026-05-08 05:00:00
2026-05-08,SOUTH,20.9,21.4,4.7,HIGH,WEATHER_FEED_2,2026-05-08 05:10:00
2026-05-08,SOUTH,2.4,3.8,8.4,LOW,WEATHER_FEED_2,2026-05-08 05:20:00
2026-05-08,SOUTH,13.6,40.8,6.7,HIGH,WEATHER_FEED_2,2026-05-08 05:30:00
2026-05-08,SOUTH,7.1,53.1,3.3,HIGH,WEATHER_FEED_2,2026-05-08 05:40:00
2026-05-08,SOUTH,26.8,26.6,4.8,LOW,WEATHER_FEED_2,2026-05-08 05:50:00
2026-05-08,SOUTH,4.4,24.2,1.3,LOW,WEATHER_FEED_2,2026-05-08 06:00:00
2026-05-08,SOUTH,12.1,20.7,1.4,HIGH,WEATHER_FEED_2,2026-05-08 06:10:00
2026-05-08,SOUTH,26.6,48.6,9.8,HIGH,WEATHER_FEED_2,2026-05-08 06:20:00
2026-05-08,SOUTH,4.0,26.0,4.5,MEDIUM,WEATHER_FEED_2,2026-05-08 06:30:00
2026-05-08,SOUTH,20.6,42.4,11.5,MEDIUM,WEATHER_FEED_2,2026-05-08 06:40:00
2026-05-08,SOUTH,17.8,49.6,10.3,MEDIUM,WEATHER_FEED_2,2026-05-08 06:50:00
2026-05-08,SOUTH,-0.3,6.5,7.6,LOW,WEATHER_FEED_2,2026-05-08 07:00:00
2026-05-08,SOUTH,17.7,15.0,3.8,MEDIUM,WEATHER_FEED_2,2026-05-08 07:10:00
2026-05-08,SOUTH,12.5,3.5,10.0,LOW,WEATHER_FEED_2,2026-05-08 07:20:00
2026-05-08,SOUTH,5.2,23.7,9.0,MEDIUM,WEATHER_FEED_2,2026-05-08 07:30:00
2026-05-08,SOUTH,-1.6,51.4,5.7,MEDIUM,WEATHER_FEED_2,2026-05-08 07:40:00
2026-05-08,SOUTH,3.0,32.8,2.2,HIGH,WEATHER_FEED_2,2026-05-08 07:50:00
2026-05-08,SOUTH,17.9,50.3,6.0,LOW,WEATHER_FEED_2,2026-05-08 08:00:00
2026-05-08,SOUTH,3.5,15.6,3.2,LOW,WEATHER_FEED_2,2026-05-08 08:10:00
