event_date,region,temperature_c,wind_speed_kmh,precipitation_mm,weather_alert_level,source_system,last_updated_ts
2026-05-07,WEST,8.8,26.7,10.0,HIGH,WEATHER_FEED_1,2026-05-07 00:00:00
2026-05-07,WEST,23.2,44.6,7.8,LOW,WEATHER_FEED_1,2026-05-07 00:10:00
2026-05-07,WEST,-0.4,39.2,0.7,LOW,WEATHER_FEED_1,2026-05-07 00:20:00
2026-05-07,WEST,-0.7,50.4,5.8,HIGH,WEATHER_FEED_1,2026-05-07 00:30:00
2026-05-07,WEST,17.7,12.4,4.6,MEDIUM,WEATHER_FEED_1,2026-05-07 00:40:00
2026-05-07,WEST,15.6,47.9,10.6,HIGH,WEATHER_FEED_1,2026-05-07 00:50:00
2026-05-07,WEST,27.2,9.8,11.0,LOW,WEATHER_FEED_1,2026-05-07 01:00:00
2026-05-07,WEST,24.4,25.9,0.8,HIGH,WEATHER_FEED_1,2026-05-07 01:10:00
2026-05-07,WEST,6.1,39.6,8.1,HIGH,WEATHER_FEED_1,2026-05-07 01:20:00
2026-05-07,WEST,14.5,32.4,11.7,HIGH,WEATHER_FEED_1,2026-05-07 01:30:00
2026-05-07,WEST,23.9,30.0,8.3,HIGH,WEATHER_FEED_1,2026-05-07 01:40:00
2026-05-07,WEST,-1.0,37.4,3.0,MEDIUM,WEATHER_FEED_1,2026-05-07 01:50:00
2026-05-07,WEST,17.2,36.4,1.8,HIGH,WEATHER_FEED_1,2026-05-07 02:00:00
2026-05-07,WEST,24.5,34.9,0.1,LOW,WEATHER_FEED_1,2026-05-07 02:10:00
2026-05-07,WEST,12.2,27.4,6.0,LOW,WEATHER_FEED_1,2026-05-07 02:20:00
2026-05-07,WEST,-1.6,28.6,2.9,MEDIUM,WEATHER_FEED_1,2026-05-07 02:30:00
2026-05-07,WEST,-2.4,14.6,7.7,MEDIUM,WEATHER_FEED_1,2026-05-07 02:40:00
2026-05-07,WEST,22.1,7.1,5.3,HIGH,WEATHER_FEED_1,2026-05-07 02:50:00
2026-05-07,WEST,10.3,47.5,5.4,LOW,WEATHER_FEED_1,2026-05-07 03:00:00
2026-05-07,WEST,27.4,41.8,0.2,MEDIUM,WEATHER_FEED_1,2026-05-07 03:10:00
2026-05-07,WEST,9.2,32.0,0.0,LOW,WEATHER_FEED_1,2026-05-07 03:20:00
2026-05-07,WEST,21.3,53.1,7.7,HIGH,WEATHER_FEED_1,2026-05-07 03:30:00
2026-05-07,WEST,14.0,37.0,5.5,MEDIUM,WEATHER_FEED_1,2026-05-07 03:40:00
2026-05-07,WEST,7.6,5.8,2.7,MEDIUM,WEATHER_FEED_1,2026-05-07 03:50:00
2026-05-07,WEST,6.6,42.9,7.2,HIGH,WEATHER_FEED_1,2026-05-07 04:00:00
2026-05-07,WEST,17.0,40.2,1.4,HIGH,WEATHER_FEED_1,2026-05-07 04:10:00
2026-05-07,WEST,3.1,20.8,10.0,MEDIUM,WEATHER_FEED_1,2026-05-07 04:20:00
2026-05-07,WEST,13.5,22.4,1.3,LOW,WEATHER_FEED_1,2026-05-07 04:30:00
2026-05-07,WEST,11.8,45.7,8.9,MEDIUM,WEATHER_FEED_1,2026-05-07 04:40:00
2026-05-07,WEST,-0.6,34.8,2.3,MEDIUM,WEATHER_FEED_1,2026-05-07 04:50:00
2026-05-07,WEST,2.9,45.9,2.3,MEDIUM,WEATHER_FEED_1,2026-05-07 05:00:00
2026-05-07,WEST,-0.6,24.6,11.1,HIGH,WEATHER_FEED_1,2026-05-07 05:10:00
2026-05-07,WEST,14.8,43.2,5.4,HIGH,WEATHER_FEED_1,2026-05-07 05:20:00
2026-05-07,WEST,14.9,29.2,11.6,LOW,WEATHER_FEED_1,2026-05-07 05:30:00
2026-05-07,WEST,13.0,5.5,11.2,HIGH,WEATHER_FEED_1,2026-05-07 05:40:00
2026-05-07,WEST,11.5,29.4,11.1,LOW,WEATHER_FEED_1,2026-05-07 05:50:00
2026-05-07,WEST,18.1,12.0,9.8,LOW,WEATHER_FEED_1,2026-05-07 06:00:00
2026-05-07,WEST,8.4,34.2,10.6,HIGH,WEATHER_FEED_1,2026-05-07 06:10:00
2026-05-07,WEST,24.2,24.8,7.3,HIGH,WEATHER_FEED_1,2026-05-07 06:20:00
2026-05-07,WEST,20.4,17.2,11.6,MEDIUM,WEATHER_FEED_1,2026-05-07 06:30:00
2026-05-07,WEST,10.5,9.9,5.0,HIGH,WEATHER_FEED_1,2026-05-07 06:40:00
2026-05-07,WEST,24.4,29.6,10.1,HIGH,WEATHER_FEED_1,2026-05-07 06:50:00
2026-05-07,WEST,23.5,40.0,11.2,HIGH,WEATHER_FEED_1,2026-05-07 07:00:00
2026-05-07,WEST,3.0,13.9,8.6,HIGH,WEATHER_FEED_1,2026-05-07 07:10:00
2026-05-07,WEST,7.0,38.0,11.8,HIGH,WEATHER_FEED_1,2026-05-07 07:20:00
2026-05-07,WEST,27.2,12.2,6.5,HIGH,WEATHER_FEED_1,2026-05-07 07:30:00
2026-05-07,WEST,6.3,9.0,4.2,MEDIUM,WEATHER_FEED_1,2026-05-07 07:40:00
2026-05-07,WEST,14.6,52.0,8.5,HIGH,WEATHER_FEED_1,2026-05-07 07:50:00
2026-05-07,WEST,19.9,46.8,3.4,MEDIUM,WEATHER_FEED_1,2026-05-07 08:00:00
2026-05-07,WEST,21.9,30.2,0.3,LOW,WEATHER_FEED_1,2026-05-07 08:10:00
